dis_image,ref_image,,dmos
1600.AWGN.1.png,1600.png,0.938,0.062
1600.AWGN.2.png,1600.png,0.794,0.206
1600.AWGN.3.png,1600.png,0.738,0.262
1600.AWGN.4.png,1600.png,0.625,0.375
1600.AWGN.5.png,1600.png,0.533,0.467
1600.BLUR.1.png,1600.png,0.957,0.043
1600.BLUR.2.png,1600.png,0.858,0.142
1600.BLUR.3.png,1600.png,0.659,0.341
1600.BLUR.4.png,1600.png,0.529,0.471
1600.BLUR.5.png,1600.png,0.25,0.75
1600.contrast.1.png,1600.png,0.944,0.056
1600.contrast.2.png,1600.png,0.799,0.201
1600.contrast.3.png,1600.png,0.69,0.31
1600.contrast.4.png,1600.png,0.629,0.371
1600.fnoise.1.png,1600.png,0.948,0.052
1600.fnoise.2.png,1600.png,0.747,0.253
1600.fnoise.3.png,1600.png,0.624,0.376
1600.fnoise.4.png,1600.png,0.51,0.49
1600.fnoise.5.png,1600.png,0.435,0.565
1600.JPEG.1.png,1600.png,0.988,0.012
1600.JPEG.2.png,1600.png,0.865,0.135
1600.JPEG.3.png,1600.png,0.636,0.364
1600.JPEG.4.png,1600.png,0.424,0.576
1600.JPEG.5.png,1600.png,0.173,0.827
1600.jpeg2000.1.png,1600.png,0.987,0.013
1600.jpeg2000.2.png,1600.png,0.931,0.069
1600.jpeg2000.3.png,1600.png,0.803,0.197
1600.jpeg2000.4.png,1600.png,0.499,0.501
1600.jpeg2000.5.png,1600.png,0.313,0.687
aerial_city.AWGN.1.png,aerial_city.png,0.968,0.032
aerial_city.AWGN.2.png,aerial_city.png,0.875,0.125
aerial_city.AWGN.3.png,aerial_city.png,0.755,0.245
aerial_city.AWGN.4.png,aerial_city.png,0.627,0.373
aerial_city.AWGN.5.png,aerial_city.png,0.499,0.501
aerial_city.BLUR.1.png,aerial_city.png,0.975,0.025
aerial_city.BLUR.2.png,aerial_city.png,0.886,0.114
aerial_city.BLUR.3.png,aerial_city.png,0.741,0.259
aerial_city.BLUR.4.png,aerial_city.png,0.536,0.464
aerial_city.BLUR.5.png,aerial_city.png,0.104,0.896
aerial_city.contrast.1.png,aerial_city.png,0.962,0.038
aerial_city.contrast.2.png,aerial_city.png,0.837,0.163
aerial_city.contrast.3.png,aerial_city.png,0.633,0.367
aerial_city.contrast.4.png,aerial_city.png,0.547,0.453
aerial_city.fnoise.1.png,aerial_city.png,0.874,0.126
aerial_city.fnoise.2.png,aerial_city.png,0.681,0.319
aerial_city.fnoise.3.png,aerial_city.png,0.525,0.475
aerial_city.fnoise.4.png,aerial_city.png,0.399,0.601
aerial_city.fnoise.5.png,aerial_city.png,0.292,0.708
aerial_city.JPEG.1.png,aerial_city.png,0.973,0.027
aerial_city.JPEG.2.png,aerial_city.png,0.809,0.191
aerial_city.JPEG.3.png,aerial_city.png,0.514,0.486
aerial_city.JPEG.4.png,aerial_city.png,0.246,0.754
aerial_city.JPEG.5.png,aerial_city.png,0.044,0.956
aerial_city.jpeg2000.1.png,aerial_city.png,0.97,0.03
aerial_city.jpeg2000.2.png,aerial_city.png,0.935,0.065
aerial_city.jpeg2000.3.png,aerial_city.png,0.611,0.389
aerial_city.jpeg2000.4.png,aerial_city.png,0.393,0.607
aerial_city.jpeg2000.5.png,aerial_city.png,0.181,0.819
boston.AWGN.1.png,boston.png,0.971,0.029
boston.AWGN.2.png,boston.png,0.919,0.081
boston.AWGN.3.png,boston.png,0.785,0.215
boston.AWGN.4.png,boston.png,0.617,0.383
boston.AWGN.5.png,boston.png,0.528,0.472
boston.BLUR.1.png,boston.png,0.917,0.083
boston.BLUR.2.png,boston.png,0.784,0.216
boston.BLUR.3.png,boston.png,0.637,0.363
boston.BLUR.4.png,boston.png,0.429,0.571
boston.BLUR.5.png,boston.png,0.087,0.913
boston.contrast.1.png,boston.png,0.883,0.117
boston.contrast.2.png,boston.png,0.661,0.339
boston.contrast.3.png,boston.png,0.395,0.605
boston.contrast.4.png,boston.png,0.31,0.69
boston.fnoise.1.png,boston.png,0.932,0.068
boston.fnoise.2.png,boston.png,0.757,0.243
boston.fnoise.3.png,boston.png,0.502,0.498
boston.fnoise.4.png,boston.png,0.38,0.62
boston.fnoise.5.png,boston.png,0.276,0.724
boston.JPEG.1.png,boston.png,1,0
boston.JPEG.2.png,boston.png,0.882,0.118
boston.JPEG.3.png,boston.png,0.611,0.389
boston.JPEG.4.png,boston.png,0.303,0.697
boston.JPEG.5.png,boston.png,0.096,0.904
boston.jpeg2000.1.png,boston.png,1,0
boston.jpeg2000.2.png,boston.png,0.95,0.05
boston.jpeg2000.3.png,boston.png,0.672,0.328
boston.jpeg2000.4.png,boston.png,0.263,0.737
boston.jpeg2000.5.png,boston.png,0.168,0.832
bridge.AWGN.1.png,bridge.png,0.972,0.028
bridge.AWGN.2.png,bridge.png,0.912,0.088
bridge.AWGN.3.png,bridge.png,0.748,0.252
bridge.AWGN.4.png,bridge.png,0.591,0.409
bridge.AWGN.5.png,bridge.png,0.483,0.517
bridge.BLUR.1.png,bridge.png,0.939,0.061
bridge.BLUR.2.png,bridge.png,0.818,0.182
bridge.BLUR.3.png,bridge.png,0.652,0.348
bridge.BLUR.4.png,bridge.png,0.364,0.636
bridge.BLUR.5.png,bridge.png,0.223,0.777
bridge.contrast.1.png,bridge.png,0.964,0.036
bridge.contrast.2.png,bridge.png,0.861,0.139
bridge.contrast.3.png,bridge.png,0.655,0.345
bridge.contrast.4.png,bridge.png,0.542,0.458
bridge.fnoise.1.png,bridge.png,0.949,0.051
bridge.fnoise.2.png,bridge.png,0.707,0.293
bridge.fnoise.3.png,bridge.png,0.571,0.429
bridge.fnoise.4.png,bridge.png,0.405,0.595
bridge.fnoise.5.png,bridge.png,0.303,0.697
bridge.JPEG.1.png,bridge.png,0.962,0.038
bridge.JPEG.2.png,bridge.png,0.797,0.203
bridge.JPEG.3.png,bridge.png,0.591,0.409
bridge.JPEG.4.png,bridge.png,0.349,0.651
bridge.JPEG.5.png,bridge.png,0.175,0.825
bridge.jpeg2000.1.png,bridge.png,0.963,0.037
bridge.jpeg2000.2.png,bridge.png,0.924,0.076
bridge.jpeg2000.3.png,bridge.png,0.727,0.273
bridge.jpeg2000.4.png,bridge.png,0.257,0.743
bridge.jpeg2000.5.png,bridge.png,0.184,0.816
butter_flower.AWGN.1.png,butter_flower.png,0.973,0.027
butter_flower.AWGN.2.png,butter_flower.png,0.911,0.089
butter_flower.AWGN.3.png,butter_flower.png,0.748,0.252
butter_flower.AWGN.4.png,butter_flower.png,0.565,0.435
butter_flower.AWGN.5.png,butter_flower.png,0.455,0.545
butter_flower.BLUR.1.png,butter_flower.png,0.922,0.078
butter_flower.BLUR.2.png,butter_flower.png,0.798,0.202
butter_flower.BLUR.3.png,butter_flower.png,0.518,0.482
butter_flower.BLUR.4.png,butter_flower.png,0.221,0.779
butter_flower.BLUR.5.png,butter_flower.png,0.047,0.953
butter_flower.contrast.1.png,butter_flower.png,0.93,0.07
butter_flower.contrast.2.png,butter_flower.png,0.744,0.256
butter_flower.contrast.3.png,butter_flower.png,0.485,0.515
butter_flower.contrast.4.png,butter_flower.png,0.385,0.615
butter_flower.fnoise.1.png,butter_flower.png,0.972,0.028
butter_flower.fnoise.2.png,butter_flower.png,0.805,0.195
butter_flower.fnoise.3.png,butter_flower.png,0.618,0.382
butter_flower.fnoise.4.png,butter_flower.png,0.451,0.549
butter_flower.fnoise.5.png,butter_flower.png,0.273,0.727
butter_flower.JPEG.1.png,butter_flower.png,0.972,0.028
butter_flower.JPEG.2.png,butter_flower.png,0.857,0.143
butter_flower.JPEG.3.png,butter_flower.png,0.54,0.46
butter_flower.JPEG.4.png,butter_flower.png,0.221,0.779
butter_flower.JPEG.5.png,butter_flower.png,0.074,0.926
butter_flower.jpeg2000.1.png,butter_flower.png,0.977,0.023
butter_flower.jpeg2000.2.png,butter_flower.png,0.969,0.031
butter_flower.jpeg2000.3.png,butter_flower.png,0.59,0.41
butter_flower.jpeg2000.4.png,butter_flower.png,0.301,0.699
butter_flower.jpeg2000.5.png,butter_flower.png,0.192,0.808
cactus.AWGN.1.png,cactus.png,0.896,0.104
cactus.AWGN.2.png,cactus.png,0.794,0.206
cactus.AWGN.3.png,cactus.png,0.651,0.349
cactus.AWGN.4.png,cactus.png,0.561,0.439
cactus.AWGN.5.png,cactus.png,0.502,0.498
cactus.BLUR.1.png,cactus.png,0.933,0.067
cactus.BLUR.2.png,cactus.png,0.853,0.147
cactus.BLUR.3.png,cactus.png,0.601,0.399
cactus.BLUR.4.png,cactus.png,0.492,0.508
cactus.BLUR.5.png,cactus.png,0.25,0.75
cactus.contrast.1.png,cactus.png,0.889,0.111
cactus.contrast.2.png,cactus.png,0.715,0.285
cactus.contrast.3.png,cactus.png,0.592,0.408
cactus.contrast.4.png,cactus.png,0.483,0.517
cactus.fnoise.1.png,cactus.png,0.778,0.222
cactus.fnoise.2.png,cactus.png,0.675,0.325
cactus.fnoise.3.png,cactus.png,0.497,0.503
cactus.fnoise.4.png,cactus.png,0.405,0.595
cactus.fnoise.5.png,cactus.png,0.333,0.667
cactus.JPEG.1.png,cactus.png,0.921,0.079
cactus.JPEG.2.png,cactus.png,0.791,0.209
