dis_image,ref_image,rating,noise,dmos,,,,,,,,
jp2k/img1.bmp,refimgs/buildings.bmp,1,1,0,0,84.48897154,1,,buildings.bmp,img1.bmp,0,buildings.bmp
jp2k/img2.bmp,refimgs/studentsculpture.bmp,0.668550287,1,28.00384536,0.331449713,84.48897154,0.668550287,,studentsculpture.bmp,img2.bmp,1.6466,studentsculpture.bmp
jp2k/img3.bmp,refimgs/rapids.bmp,0.597453541,1,34.01073628,0.402546459,84.48897154,0.597453541,,rapids.bmp,img3.bmp,0.72312,rapids.bmp
jp2k/img4.bmp,refimgs/dancers.bmp,0.229113475,1,65.13140971,0.770886525,84.48897154,0.229113475,,dancers.bmp,img4.bmp,0.25079,dancers.bmp
jp2k/img5.bmp,refimgs/churchandcapitol.bmp,0.184374729,1,68.9113403,0.815625271,84.48897154,0.184374729,,churchandcapitol.bmp,img5.bmp,0.12615,churchandcapitol.bmp
jp2k/img6.bmp,refimgs/dancers.bmp,0.228892229,1,65.15010253,0.771107771,84.48897154,0.228892229,,dancers.bmp,img6.bmp,0.21194,dancers.bmp
jp2k/img7.bmp,refimgs/churchandcapitol.bmp,0.356161342,1,54.39726604,0.643838658,84.48897154,0.356161342,,churchandcapitol.bmp,img7.bmp,0.38308,churchandcapitol.bmp
jp2k/img8.bmp,refimgs/stream.bmp,0.474521419,1,44.3971449,0.525478581,84.48897154,0.474521419,,stream.bmp,img8.bmp,0.71533,stream.bmp
jp2k/img9.bmp,refimgs/cemetry.bmp,1,1,0,0,84.48897154,1,,cemetry.bmp,img9.bmp,0,cemetry.bmp
jp2k/img10.bmp,refimgs/woman.bmp,0.438624795,1,47.43001376,0.561375206,84.48897154,0.438624794,,woman.bmp,img10.bmp,0.40027,woman.bmp
jp2k/img11.bmp,refimgs/lighthouse2.bmp,1,1,0,0,84.48897154,1,,lighthouse2.bmp,img11.bmp,0,lighthouse2.bmp
jp2k/img12.bmp,refimgs/sailing3.bmp,0.509847289,1,41.41249842,0.490152711,84.48897154,0.509847289,,sailing3.bmp,img12.bmp,0.38246,sailing3.bmp
jp2k/img13.bmp,refimgs/buildings.bmp,0.413164319,1,49.58114314,0.586835681,84.48897154,0.413164319,,buildings.bmp,img13.bmp,0.40141,buildings.bmp
jp2k/img14.bmp,refimgs/paintedhouse.bmp,0.421897952,1,48.84324745,0.578102048,84.48897154,0.421897952,,paintedhouse.bmp,img14.bmp,0.41508,paintedhouse.bmp
jp2k/img15.bmp,refimgs/bikes.bmp,0.690635202,1,26.13791358,0.309364798,84.48897154,0.690635202,,bikes.bmp,img15.bmp,1.6219,bikes.bmp
jp2k/img16.bmp,refimgs/ocean.bmp,1,1,0,0,84.48897154,1,,ocean.bmp,img16.bmp,0,ocean.bmp
jp2k/img17.bmp,refimgs/stream.bmp,0.26051054,1,62.4787039,0.73948946,84.48897154,0.26051054,,stream.bmp,img17.bmp,0.40832,stream.bmp
jp2k/img18.bmp,refimgs/carnivaldolls.bmp,0.554984802,1,37.59887641,0.445015198,84.48897154,0.554984802,,carnivaldolls.bmp,img18.bmp,0.7153,carnivaldolls.bmp
jp2k/img19.bmp,refimgs/sailing1.bmp,0.763677769,1,19.96662226,0.236322231,84.48897154,0.763677769,,sailing1.bmp,img19.bmp,2.5288,sailing1.bmp
jp2k/img20.bmp,refimgs/house.bmp,1,1,0,0,84.48897154,1,,house.bmp,img20.bmp,0,house.bmp
jp2k/img21.bmp,refimgs/coinsinfountain.bmp,0.613029982,1,32.69469884,0.386970018,84.48897154,0.613029982,,coinsinfountain.bmp,img21.bmp,0.70372,coinsinfountain.bmp
jp2k/img22.bmp,refimgs/monarch.bmp,1,1,0,0,84.48897154,1,,monarch.bmp,img22.bmp,0,monarch.bmp
jp2k/img23.bmp,refimgs/woman.bmp,0.503812785,1,41.92234749,0.496187215,84.48897154,0.503812785,,woman.bmp,img23.bmp,0.59812,woman.bmp
jp2k/img24.bmp,refimgs/building2.bmp,1,1,0,0,84.48897154,1,,building2.bmp,img24.bmp,0,building2.bmp
jp2k/img25.bmp,refimgs/caps.bmp,1,1,0,0,84.48897154,1,,caps.bmp,img25.bmp,0,caps.bmp
jp2k/img26.bmp,refimgs/manfishing.bmp,0.70006725,1,25.34100954,0.299932749,84.48897154,0.700067251,,manfishing.bmp,img26.bmp,2.2558,manfishing.bmp
jp2k/img27.bmp,refimgs/house.bmp,0.398269745,1,50.83957042,0.601730255,84.48897154,0.398269745,,house.bmp,img27.bmp,0.22409,house.bmp
jp2k/img28.bmp,refimgs/coinsinfountain.bmp,0.213365422,1,66.46194644,0.786634578,84.48897154,0.213365422,,coinsinfountain.bmp,img28.bmp,0.10943,coinsinfountain.bmp
jp2k/img29.bmp,refimgs/buildings.bmp,0.273115579,1,61.41371717,0.726884421,84.48897154,0.273115579,,buildings.bmp,img29.bmp,0.20136,buildings.bmp
jp2k/img30.bmp,refimgs/building2.bmp,0.179792174,1,69.29851566,0.820207826,84.48897154,0.179792174,,building2.bmp,img30.bmp,0.12981,building2.bmp
jp2k/img31.bmp,refimgs/ocean.bmp,0.606103949,1,33.27987228,0.393896051,84.48897154,0.606103949,,ocean.bmp,img31.bmp,0.58689,ocean.bmp
jp2k/img32.bmp,refimgs/rapids.bmp,0.169217826,1,70.19193144,0.830782174,84.48897154,0.169217826,,rapids.bmp,img32.bmp,0.1227,rapids.bmp
jp2k/img33.bmp,refimgs/buildings.bmp,0.362682504,1,53.84629978,0.637317496,84.48897154,0.362682504,,buildings.bmp,img33.bmp,0.37358,buildings.bmp
jp2k/img34.bmp,refimgs/studentsculpture.bmp,0.724308382,1,23.2929013,0.275691618,84.48897154,0.724308382,,studentsculpture.bmp,img34.bmp,2.7031,studentsculpture.bmp
jp2k/img35.bmp,refimgs/paintedhouse.bmp,1,1,0,0,84.48897154,1,,paintedhouse.bmp,img35.bmp,0,paintedhouse.bmp
jp2k/img36.bmp,refimgs/manfishing.bmp,1,1,0,0,84.48897154,1,,manfishing.bmp,img36.bmp,0,manfishing.bmp
jp2k/img37.bmp,refimgs/ocean.bmp,0.585427352,1,35.02681669,0.414572648,84.48897154,0.585427352,,ocean.bmp,img37.bmp,0.40169,ocean.bmp
jp2k/img38.bmp,refimgs/sailing3.bmp,0.25551989,1,62.90035885,0.74448011,84.48897154,0.25551989,,sailing3.bmp,img38.bmp,0.10603,sailing3.bmp
jp2k/img39.bmp,refimgs/sailing4.bmp,0.576524788,1,35.77898515,0.423475212,84.48897154,0.576524788,,sailing4.bmp,img39.bmp,0.59673,sailing4.bmp
jp2k/img40.bmp,refimgs/paintedhouse.bmp,0.173021557,1,69.87055816,0.826978443,84.48897154,0.173021557,,paintedhouse.bmp,img40.bmp,0.1909,paintedhouse.bmp
jp2k/img41.bmp,refimgs/building2.bmp,0.437407387,1,47.53287131,0.562592613,84.48897154,0.437407387,,building2.bmp,img41.bmp,0.72182,building2.bmp
jp2k/img42.bmp,refimgs/womanhat.bmp,0.350684145,1,54.86002883,0.649315855,84.48897154,0.350684145,,womanhat.bmp,img42.bmp,0.21173,womanhat.bmp
jp2k/img43.bmp,refimgs/sailing1.bmp,0.240522306,1,64.16748928,0.759477694,84.48897154,0.240522306,,sailing1.bmp,img43.bmp,0.11565,sailing1.bmp
jp2k/img44.bmp,refimgs/flowersonih35.bmp,0.206927639,1,67.00586811,0.793072361,84.48897154,0.206927639,,flowersonih35.bmp,img44.bmp,0.20353,flowersonih35.bmp
jp2k/img45.bmp,refimgs/churchandcapitol.bmp,0.185889502,1,68.78335868,0.814110498,84.48897154,0.185889502,,churchandcapitol.bmp,img45.bmp,0.104,churchandcapitol.bmp
jp2k/img46.bmp,refimgs/cemetry.bmp,0.195475037,1,67.97348673,0.804524963,84.48897154,0.195475037,,cemetry.bmp,img46.bmp,0.12538,cemetry.bmp
jp2k/img47.bmp,refimgs/house.bmp,0.401713902,1,50.54857713,0.598286098,84.48897154,0.401713902,,house.bmp,img47.bmp,0.21506,house.bmp
jp2k/img48.bmp,refimgs/cemetry.bmp,0.160112589,1,70.9612236,0.839887412,84.48897154,0.160112588,,cemetry.bmp,img48.bmp,0.12274,cemetry.bmp
jp2k/img49.bmp,refimgs/caps.bmp,0.684298412,1,26.67330249,0.315701588,84.48897154,0.684298412,,caps.bmp,img49.bmp,0.60354,caps.bmp
jp2k/img50.bmp,refimgs/parrots.bmp,1,1,0,0,84.48897154,1,,parrots.bmp,img50.bmp,0,parrots.bmp
jp2k/img51.bmp,refimgs/lighthouse.bmp,0.628827697,1,31.35996618,0.371172303,84.48897154,0.628827697,,lighthouse.bmp,img51.bmp,0.65051,lighthouse.bmp
jp2k/img52.bmp,refimgs/sailing4.bmp,0.379145013,1,52.45539931,0.620854987,84.48897154,0.379145013,,sailing4.bmp,img52.bmp,0.26196,sailing4.bmp
jp2k/img53.bmp,refimgs/plane.bmp,0.282741971,1,60.60039324,0.71725803,84.48897154,0.28274197,,plane.bmp,img53.bmp,0.11053,plane.bmp
jp2k/img54.bmp,refimgs/coinsinfountain.bmp,1,1,0,0,84.48897154,1,,coinsinfountain.bmp,img54.bmp,0,coinsinfountain.bmp
jp2k/img55.bmp,refimgs/sailing2.bmp,0.419495381,1,49.04623821,0.580504619,84.48897154,0.419495381,,sailing2.bmp,img55.bmp,0.20057,sailing2.bmp
jp2k/img56.bmp,refimgs/monarch.bmp,0.45755612,1,45.83052554,0.54244388,84.48897154,0.45755612,,monarch.bmp,img56.bmp,0.20004,monarch.bmp
jp2k/img57.bmp,refimgs/plane.bmp,1,1,0,0,84.48897154,1,,plane.bmp,img57.bmp,0,plane.bmp
jp2k/img58.bmp,refimgs/plane.bmp,0.74855014,1,21.24474003,0.25144986,84.48897154,0.74855014,,plane.bmp,img58.bmp,2.3766,plane.bmp
jp2k/img59.bmp,refimgs/sailing2.bmp,0.712812978,1,24.26413611,0.287187022,84.48897154,0.712812978,,sailing2.bmp,img59.bmp,2.511,sailing2.bmp
jp2k/img60.bmp,refimgs/studentsculpture.bmp,0.275900765,1,61.17839966,0.724099235,84.48897154,0.275900765,,studentsculpture.bmp,img60.bmp,0.20383,studentsculpture.bmp
jp2k/img61.bmp,refimgs/monarch.bmp,0.620120989,1,32.09558699,0.379879011,84.48897154,0.620120989,,monarch.bmp,img61.bmp,0.4277,monarch.bmp
jp2k/img62.bmp,refimgs/sailing2.bmp,0.742719174,1,21.7373924,0.257280826,84.48897154,0.742719174,,sailing2.bmp,img62.bmp,1.849,sailing2.bmp
jp2k/img63.bmp,refimgs/manfishing.bmp,0.550550211,1,37.97355042,0.449449789,84.48897154,0.550550211,,manfishing.bmp,img63.bmp,0.60047,manfishing.bmp
jp2k/img64.bmp,refimgs/rapids.bmp,1,1,0,0,84.48897154,1,,rapids.bmp,img64.bmp,0,rapids.bmp
