dis_image,ref_image,rating,noise
I01_01_1.bmp,I01.bmp,0.75616,1
i01_01_2.bmp,I01.bmp,0.76381,1
i01_01_3.bmp,I01.bmp,0.67443,1
i01_01_4.bmp,I01.bmp,0.59324,1
i01_01_5.bmp,I01.bmp,0.51958,1
i01_02_1.bmp,I01.bmp,0.82993,2
i01_02_2.bmp,I01.bmp,0.84134,2
i01_02_3.bmp,I01.bmp,0.73818,2
i01_02_4.bmp,I01.bmp,0.64142,2
i01_02_5.bmp,I01.bmp,0.59076,2
i01_03_1.bmp,I01.bmp,0.64961,3
i01_03_2.bmp,I01.bmp,0.57773,3
i01_03_3.bmp,I01.bmp,0.49632,3
i01_03_4.bmp,I01.bmp,0.42342,3
i01_03_5.bmp,I01.bmp,0.35455,3
i01_04_1.bmp,I01.bmp,0.82173,4
i01_04_2.bmp,I01.bmp,0.79094,4
i01_04_3.bmp,I01.bmp,0.72116,4
i01_04_4.bmp,I01.bmp,0.71729,4
i01_04_5.bmp,I01.bmp,0.64142,4
i01_05_1.bmp,I01.bmp,0.8142,5
i01_05_2.bmp,I01.bmp,0.78319,5
i01_05_3.bmp,I01.bmp,0.69435,5
i01_05_4.bmp,I01.bmp,0.55888,5
i01_05_5.bmp,I01.bmp,0.41545,5
i01_06_1.bmp,I01.bmp,0.53896,6
i01_06_2.bmp,I01.bmp,0.52346,6
i01_06_3.bmp,I01.bmp,0.5002,6
i01_06_4.bmp,I01.bmp,0.4652,6
i01_06_5.bmp,I01.bmp,0.38756,6
i01_07_1.bmp,I01.bmp,0.69435,7
i01_07_2.bmp,I01.bmp,0.64654,7
i01_07_3.bmp,I01.bmp,0.53896,7
i01_07_4.bmp,I01.bmp,0.4274,7
i01_07_5.bmp,I01.bmp,0.27999,7
i01_08_1.bmp,I01.bmp,0.70953,8
i01_08_2.bmp,I01.bmp,0.6067,8
i01_08_3.bmp,I01.bmp,0.46531,8
i01_08_4.bmp,I01.bmp,0.39553,8
i01_08_5.bmp,I01.bmp,0.26803,8
i01_09_1.bmp,I01.bmp,0.83778,9
i01_09_2.bmp,I01.bmp,0.7063,9
i01_09_3.bmp,I01.bmp,0.60043,9
i01_09_4.bmp,I01.bmp,0.36839,9
i01_09_5.bmp,I01.bmp,0.18619,9
i01_10_1.bmp,I01.bmp,0.82195,10
i01_10_2.bmp,I01.bmp,0.81808,10
i01_10_3.bmp,I01.bmp,0.67044,10
i01_10_4.bmp,I01.bmp,0.42654,10
i01_10_5.bmp,I01.bmp,0.26373,10
I01_11_1.BMP,I01.bmp,0.81354,11
i01_11_2.bmp,I01.bmp,0.77931,11
i01_11_3.bmp,I01.bmp,0.63857,11
i01_11_4.bmp,I01.bmp,0.49244,11
i01_11_5.bmp,I01.bmp,0.17456,11
i01_12_1.bmp,I01.bmp,0.81808,12
i01_12_2.bmp,I01.bmp,0.80645,12
i01_12_3.bmp,I01.bmp,0.56998,12
i01_12_4.bmp,I01.bmp,0.51506,12
i01_12_5.bmp,I01.bmp,0.45755,12
I01_13_1.BMP,I01.bmp,0.7483,13
i01_13_2.bmp,I01.bmp,0.52667,13
i01_13_3.bmp,I01.bmp,0.43537,13
i01_13_4.bmp,I01.bmp,0.41944,13
i01_13_5.bmp,I01.bmp,0.41104,13
i01_14_1.bmp,I01.bmp,0.782,14
i01_14_2.bmp,I01.bmp,0.83358,14
i01_14_3.bmp,I01.bmp,0.79094,14
i01_14_4.bmp,I01.bmp,0.76208,14
i01_14_5.bmp,I01.bmp,0.60646,14
i01_15_1.bmp,I01.bmp,0.37162,15
i01_15_2.bmp,I01.bmp,0.37094,15
i01_15_3.bmp,I01.bmp,0.41104,15
i01_15_4.bmp,I01.bmp,0.4792,15
i01_15_5.bmp,I01.bmp,0.52346,15
i01_16_1.bmp,I01.bmp,0.79794,16
i01_16_2.bmp,I01.bmp,0.83358,16
i01_16_3.bmp,I01.bmp,0.66646,16
i01_16_4.bmp,I01.bmp,0.68638,16
i01_16_5.bmp,I01.bmp,0.56685,16
i01_17_1.bmp,I01.bmp,0.73279,17
i01_17_2.bmp,I01.bmp,0.91499,17
i01_17_3.bmp,I01.bmp,0.55059,17
i01_17_4.bmp,I01.bmp,0.86072,17
i01_17_5.bmp,I01.bmp,0.39143,17
i01_18_1.bmp,I01.bmp,0.62812,18
i01_18_2.bmp,I01.bmp,0.57084,18
i01_18_3.bmp,I01.bmp,0.50618,18
i01_18_4.bmp,I01.bmp,0.46326,18
i01_18_5.bmp,I01.bmp,0.45529,18
i01_19_1.bmp,I01.bmp,0.81786,19
i01_19_2.bmp,I01.bmp,0.75013,19
i01_19_3.bmp,I01.bmp,0.69403,19
i01_19_4.bmp,I01.bmp,0.61466,19
i01_19_5.bmp,I01.bmp,0.53099,19
i01_20_1.bmp,I01.bmp,0.80534,20
i01_20_2.bmp,I01.bmp,0.80192,20
i01_20_3.bmp,I01.bmp,0.82981,20
i01_20_4.bmp,I01.bmp,0.69435,20
i01_20_5.bmp,I01.bmp,0.58677,20
